#UPDATE_DATE,5/26/2026,,,,,,,,,,,,,
หมวด,ITEM CODE,Ø (cm),ความยาว (m),Order,Site (หน่วยงาน),Stock (ท่อน),BOM (m³/ท่อน),Stock (m³),โรงงาน,Ø_mm,Area,ปีผลิต,ปีเสา,เหล็กเสริมพิเศษ
,I22D0900S02,22,9,,,1,0.3474,0.3474,F1,I22,,,,
,I22D1000S02,22,10,,,37,0.386,14.282,F1,I22,,,,
,I22D1000S02,22,10,,,16,0.386,6.176,F1,I22,,,,
,I22D1000S02,22,10,,,26,0.386,10.036,F1,I22,,,,
,I22D1000S02,22,10,,,46,0.386,17.756,F1,I22,,,,
,I22D1000S02,22,10,,,17,0.386,6.562,F1,I22,,,,
,I22D1050S02,22,10.5,,,226,0.4053,91.5978,F1,I22,,,,
,I22D1050S02,22,10.5,,,4,0.4053,1.6212,F1,I22,,,,
,I22D1050S52004001,22,10.5,,,8,0.4053,3.2424,F1,I22,,,,
,I22D1050S52004002,22,10.5,,,1,0.4053,0.4053,F1,I22,,,,
,I22D1100S02,22,11,,,1,0.4246,0.4246,F1,I22,,,,
,I22D1100S02,22,11,,,22,0.4246,9.3412,F1,I22,,,,
,I22D1200S02,22,12,,,2,0.4632,0.9264,F1,I22,,,,
,I22D1200S52004001,22,12,,,1,0.4632,0.4632,F1,I22,,,,
,I22D1300S02,22,13,,,1,0.5018,0.5018,F1,I22,,,,
,I26A1100P00,26,11,,,4,0.5379,2.1516,F1,I26,,,,
,I26A1350E01021801,26,13.5,,,1,0.6602,0.6602,F1,I26,,,,
,I26A1350P51004601,26,13.5,,,1,0.6602,0.6602,F1,I26,,,,
,I26B0700T02,26,7,,,3,0.3423,1.0269,F1,I26,,,,
,I26B0700T50014401,26,7,,,1,0.3423,0.3423,F1,I26,,,,
,I26B0900T02,26,9,,,1,0.4401,0.4401,F1,I26,,,,
,I26B1050T02,26,10.5,,,1,0.5135,0.5135,F1,I26,,,,
,I26B1300T02,26,13,,,5,0.6357,3.1785,F1,I26,,,,
,I26B1500E00032201,26,15,,,1,0.7335,0.7335,F1,I26,,,,
,I26C0950S02,26,9.5,,,1,0.4646,0.4646,F1,I26,,,,
,I26C1000S02,26,10,,,10,0.489,4.89,F1,I26,,,,
,I26C1000S02,26,10,,,6,0.489,2.934,F1,I26,,,,
,I26C1150S02,26,11.5,,,2,0.5624,1.1247,F1,I26,,,,
,I26D0800S02,26,8,,,154,0.3912,60.2448,F1,I26,,,,
,I26D1000S02,26,10,,,18,0.489,8.802,F1,I26,,,,
,I26D1000S52011501,26,10,,,2,0.489,0.978,F1,I26,,,,
,I26D1000T02,26,10,,,4,0.489,1.956,F1,I26,,,,
,I26D1050S02,26,10.5,,,120,0.5135,61.614,F1,I26,,,,
,I26D1100S02,26,11,,,10,0.5379,5.379,F1,I26,,,,
,I26D1300S02,26,13,,,24,0.6357,15.2568,F1,I26,,,,
,I30A1000P01,30,10,,,2,0.66,1.32,F1,I30,,,,
,I30A1050P51014401,30,10.5,,,4,0.693,2.772,F1,I30,,,,
,I30A1550P00,30,15.5,,,1,1.023,1.023,F1,I30,,,,
,I30B0800T02,30,8,,,38,0.528,20.064,F1,I30,,,,
,I30B1000T00,30,10,,,2,0.66,1.32,F1,I30,,,,
,I30B1250T02,30,12.5,,,1,0.825,0.825,F1,I30,,,,
,I30B1300E50007001,30,13,,,3,0.858,2.574,F1,I30,,,,
,I30B1700T00,30,17,,,18,1.122,20.196,F1,I30,,,,
,I30B2200T50027901,30,22,,,2,1.452,2.904,F1,I30,,,,
,I30D1050S02,30,10.5,,,1,0.693,0.693,F1,I30,,,,
,I30D1050T02,30,10.5,,,2,0.693,1.386,F1,I30,,,,
,I30D1150S02,30,11.5,,,1,0.759,0.759,F1,I30,,,,
,I30D1300T02,30,13,,,1,0.858,0.858,F1,I30,,,,
,I35A0700P01,35,7,,,1,0.616,0.616,F1,I35,,,,
,I35A0800T02,35,8,,,1,0.704,0.704,F1,I35,,,,
,I35A0900P01,35,9,,,1,0.792,0.792,F1,I35,,,,
,I35A1050P01,35,10.5,,,1,0.924,0.924,F1,I35,,,,
,I35A1050P01,35,10.5,,,1,0.924,0.924,F1,I35,,,,
,I35A1050P01,35,10.5,,,1,0.924,0.924,F1,I35,,,,
,I35A1050T02,35,10.5,,,6,0.924,5.544,F1,I35,,,,
,I35A1100P50011001,35,11,,,1,0.968,0.968,F1,I35,,,,
,I35A1200P11,35,12,,,1,1.056,1.056,F1,I35,,,,
,I35A1600T50007102,35,16,,,1,1.408,1.408,F1,I35,,,,
,I35A1700T02,35,17,,,1,1.496,1.496,F1,I35,,,,
,I35A1800E50023301,35,18,,,1,1.584,1.584,F1,I35,,,,
,I35A2400P00,35,24,,,1,2.112,2.112,F1,I35,,,,
,I35B1000T02,35,10,,,2,0.88,1.76,F1,I35,,,,
,I35B1000T52012901,35,10,,,10,0.88,8.8,F1,I35,,,,
,I35B1050P00,35,10.5,,,1,0.924,0.924,F1,I35,,,,
,I35B1100E53030601,35,11,,,1,0.968,0.968,F1,I35,,,,
,I35B1200T02,35,12,,,6,1.056,6.336,F1,I35,,,,
